"Time (s) Run #1","Position (m) Run #1"
68.150,0.4295
68.200,0.4647
68.250,0.4968
68.300,0.5257
68.350,0.5511
68.400,0.5722
68.450,0.5884
68.500,0.5993
68.550,0.6043
68.600,0.6038
68.650,0.5973
68.700,0.5854
68.750,0.5682
68.800,0.5459
68.850,0.5198
68.900,0.4901
68.950,0.4579
69.000,0.4224
69.050,0.3888
69.100,0.3560
69.150,0.3232
69.200,0.2952
69.250,0.2712
69.300,0.2506
69.350,0.2368
69.400,0.2291
69.450,0.2273
69.500,0.2317
69.550,0.2420
69.600,0.2577
69.650,0.2808
69.700,0.3065
69.750,0.3379
69.800,0.3696
69.850,0.4027
69.900,0.4365
69.950,0.4713
70.000,0.5023
70.050,0.5307
70.100,0.5553
70.150,0.5752
70.200,0.5903
70.250,0.6000
70.300,0.6040
70.350,0.6021
70.400,0.5945
70.450,0.5815
70.500,0.5632
70.550,0.5404
70.600,0.5135
70.650,0.4833
70.700,0.4488
70.750,0.4153
70.800,0.3819
70.850,0.3498
70.900,0.3173
70.950,0.2904
71.000,0.2657
71.050,0.2475
71.100,0.2354
71.150,0.2291
71.200,0.2287
71.250,0.2343
71.300,0.2452
71.350,0.2621
71.400,0.2859
71.450,0.3125
71.500,0.3423
71.550,0.3765
71.600,0.4096
71.650,0.4429
71.700,0.4773
71.750,0.5080
71.800,0.5356
71.850,0.5591
71.900,0.5782
71.950,0.5919
72.000,0.6004
72.050,0.6031
72.100,0.6002
72.150,0.5915
72.200,0.5774
72.250,0.5584
72.300,0.5347
72.350,0.5071
72.400,0.4767
72.450,0.4422
72.500,0.4086
72.550,0.3757
72.600,0.3439
72.650,0.3125
72.700,0.2864
72.750,0.2626
72.800,0.2458
72.850,0.2349
72.900,0.2294
72.950,0.2300
73.000,0.2367
73.050,0.2491
73.100,0.2692
73.150,0.2919
73.200,0.3192
73.250,0.3513
73.300,0.3835
73.350,0.4165
73.400,0.4497
73.450,0.4840
73.500,0.5138
73.550,0.5404
73.600,0.5629
73.650,0.5808
73.700,0.5933
73.750,0.6008
73.800,0.6022
73.850,0.5980
73.900,0.5882
73.950,0.5731
74.000,0.5531
74.050,0.5289
74.100,0.5007
74.150,0.4700
74.200,0.4351
74.250,0.4020
74.300,0.3693
74.350,0.3377
74.400,0.3071
74.450,0.2819
74.500,0.2593
74.550,0.2439
74.600,0.2340
74.650,0.2299
74.700,0.2319
74.750,0.2395
74.800,0.2555
74.850,0.2743
74.900,0.2979
74.950,0.3255
75.000,0.3585
75.050,0.3907
75.100,0.4235
75.150,0.4584
75.200,0.4902
75.250,0.5192
75.300,0.5447
75.350,0.5662
75.400,0.5830
75.450,0.5946
75.500,0.6006
75.550,0.6010
75.600,0.5957
75.650,0.5848
75.700,0.5688
75.750,0.5479
75.800,0.5227
75.850,0.4938
75.900,0.4628
75.950,0.4281
76.000,0.3950
76.050,0.3626
76.100,0.3297
76.150,0.3018
76.200,0.2774
76.250,0.2560
76.300,0.2420
76.350,0.2333
76.400,0.2308
76.450,0.2340
76.500,0.2423
76.550,0.2575
76.600,0.2793
76.650,0.3036
76.700,0.3320
